name,year,genre,rating,director,votes
Poltergeist,1982,Horror/Thriller,7.3,Tobe Hooper,170924
Sweeney Todd: The Demon Barber of Fleet Street,2007,Drama/Horror/Musical,7.3,Tim Burton,376557
Gremlins,1984,Comedy/Fantasy/Horror,7.3,Joe Dante,234614
The Conjuring 2,2016,Horror/Mystery/Thriller,7.3,James Wan,282543
Sleepy Hollow,1999,Fantasy/Horror/Mystery,7.3,Tim Burton,370303
Take Shelter,2011,Drama/Horror/Sci-Fi,7.3,Jeff Nichols,103846
Eraserhead,1977,Fantasy/Horror,7.3,David Lynch,121484
Suspiria,1977,Horror,7.3,Dario Argento,"98,751"
The Return of the Living Dead,1985,Comedy/Horror/Sci-Fi,7.3,Dan O'Bannon,"64,592"
Twin Peaks: Fire Walk with Me,1992,Drama/Horror/Mystery,7.3,David Lynch,100656
House,1977,Comedy/Horror,7.3,Nobuhiko ?bayashi,"30,498"
Pi,1998,Drama/Horror/Mystery,7.3,Darren Aronofsky,182946
The Hidden Face,2011,Drama/Horror/Mystery,7.3,Andr¨¦s Baiz,"44,415"
Bacurau,2019,Action/Adventure/Drama,7.3,Juliano Dornelles,"29,082"
The Menu,2022,Comedy/Horror/Thriller,7.2,Mark Mylod,323131
From Dusk Till Dawn,1996,Action/Crime/Horror,7.2,Robert Rodriguez,326069
The Lost Boys,1987,Comedy/Horror,7.2,Joel Schumacher,150478
A Quiet Place Part II,2020,Drama/Horror/Sci-Fi,7.2,John Krasinski,248967
The Descent,2005,Adventure/Horror/Thriller,7.2,Neil Marshall,233687
They Live,1988,Action/Horror/Sci-Fi,7.2,John Carpenter,136510
I Am Legend,2007,Action/Drama/Horror,7.2,Francis Lawrence,781259
10 Cloverfield Lane,2016,Drama/Horror/Mystery,7.2,Dan Trachtenberg,340537
Dead Ringers,1988,Drama/Horror/Thriller,7.2,David Cronenberg,"50,992"
Angel Heart,1987,Horror/Mystery/Thriller,7.2,Alan Parker,"91,791"
An American Crime,2007,Biography/Crime/Drama,7.2,Tommy O'Haver,"35,826"
Videodrome,1983,Horror/Sci-Fi/Thriller,7.2,David Cronenberg,"97,693"
Re-Animator,1985,Comedy/Horror/Sci-Fi,7.2,Stuart Gordon,"68,040"
Only Lovers Left Alive,2013,Comedy/Drama/Fantasy,7.2,Jim Jarmusch,104159
The Changeling,1980,Horror/Mystery,7.2,Peter Medak,"37,163"
Ringu,1998,Horror/Mystery,7.2,Hideo Nakata,"73,508"
The Dead Zone,1983,Drama/Horror/Sci-Fi,7.2,David Cronenberg,"73,727"
Sleep Tight,2011,Crime/Drama/Horror,7.2,Jaume Balaguer¨®,"44,718"
Horror of Dracula,1958,Drama/Horror,7.2,Terence Fisher,"26,472"
The Wolf Man,1941,Horror/Mystery/Romance,7.2,George Waggner,"28,724"
Midsommar,2019,Drama/Horror/Mystery,7.1,Ari Aster,354167
The Ring,2002,Horror/Mystery,7.1,Gore Verbinski,360824
Prey I,2022,Action/Adventure/Drama,7.1,Dan Trachtenberg,207940
The Mist,2007,Horror/Sci-Fi/Thriller,7.1,Frank Darabont,323435
Don't Breathe,2016,Crime/Horror/Thriller,7.1,Fede Alvarez,286498
Little Shop of Horrors,1986,Comedy/Horror/Musical,7.1,Frank Oz,"80,770"
Blade,1998,Action/Horror/Sci-Fi,7.1,Stephen Norrington,285069
Bone Tomahawk,2015,Drama/Horror/Western,7.1,S. Craig Zahler,107954
The Invisible Man I,2020,Drama/Horror/Mystery,7.1,Leigh Whannell,238588
Tremors,1990,Comedy/Horror,7.1,Ron Underwood,143452
Planet Terror,2007,Action/Comedy/Horror,7.1,Robert Rodriguez,217087
The Call,2020,Crime/Horror/Mystery,7.1,Chung-Hyun Lee,"37,886"
Don't Look Now,1973,Drama/Horror/Mystery,7.1,Nicolas Roeg,"58,877"
Let Me In I,2010,Drama/Fantasy/Horror,7.1,Matt Reeves,124539
Cube,1997,Drama/Horror/Mystery,7.1,Vincenzo Natali,239015
The Frighteners,1996,Comedy/Fantasy/Horror,7.1,Peter Jackson,"91,980"
Audition,1999,Drama/Horror/Mystery,7.1,Takashi Miike,"84,967"
In the Mouth of Madness,1994,Drama/Fantasy/Horror,7.1,John Carpenter,"74,185"
The Host,2006,Drama/Horror/Sci-Fi,7.1,Bong Joon Ho,127160
The Thing from Another World,1951,Horror/Sci-Fi,7.1,Christian Nyby,"31,634"
Day of the Dead,1985,Horror/Thriller,7.1,George A. Romero,"71,624"
Timecrimes,2007,Horror/Mystery/Sci-Fi,7.1,Nacho Vigalondo,"66,167"
Black Christmas,1974,Horror/Mystery/Thriller,7.1,Bob Clark,"44,485"
A Tale of Two Sisters,2003,Drama/Horror/Mystery,7.1,Jee-woon Kim,"65,125"
Thirst,2009,Drama/Fantasy/Horror,7.1,Park Chan-wook,"49,291"
The Fearless Vampire Killers,1967,Comedy/Horror,7.1,Roman Polanski,"32,778"
Pearl,2022,Drama/Horror/Thriller,7,Ti West,"60,574"
Barbarian,2022,Horror/Mystery/Thriller,7,Zach Cregger,150220
Orphan,2009,Horror/Mystery/Thriller,7,Jaume Collet-Serra,240096
Last Night in Soho,2021,Drama/Horror/Mystery,7,Edgar Wright,151594
The Platform,2019,Horror/Sci-Fi/Thriller,7,Galder Gaztelu-Urrutia,246812
Cloverfield,2008,Action/Adventure/Horror,7,Matt Reeves,409328
The Cabin in the Woods,2011,Horror/Mystery/Thriller,7,Drew Goddard,431746
Martyrs,2008,Horror,7,Pascal Laugier,100077
The Killing of a Sacred Deer,2017,Drama/Horror/Mystery,7,Yorgos Lanthimos,164977
